Column1,Column2,Column3,Column4,Column5,Column6
headline_id,text,label,mixed,hard,notes
3478e097ae6257ded524579f46dabefb34b36688,"Sirius XM, Citigroup Among Shumway Buys",neutral,0,1,"Investment list, no clear positive or negative"
4871d37347564aebdb94eca16c516fbb15f88762,3 Stocks Set to Spring - Investment Ideas,neutral,0,1,General Article no clear direction of headline
f7851e99c35923dc8c9369b2f6030f46d09840e4,"Sterne Agee Downgrades National Penn Bancshares to Underperform, $7 PT",negative,0,0,Clear downward trend
40e81f3ebabb365347dd5dcba0e91bd64198ff2f,"Microsoft Takes Legal Action Against Barnes & Noble, Foxconn and Inventec for Patent Infringement by Android Devices",neutral,0,1,Legal action; direction of relevant equity unclear
9674323a0db9a230f4358273f6e5e3ae8357c05c,Telefonica Layoff Costs 2.7 Billion Euro - Analyst Blog,negative,0,1,Large cost; interpretation that the company is going through rough times
346145ae4c2396a7e5ba8745817777dfcd185f55,Stewart Information Services Corporation Reports Q4 EPS of $0.30 vs $0.26 Est; Revenue of $450.20M vs $483.82M Est,positive,0,0,"Earnings beat ecpectations, clear positives"
56d43cd1f621b08fe4207b74f4ec4a1c013302f8,Annaly Capital Management Announces 75M Share Offering,neutral,0,1,Share might also mean dilution so no clear favorable outcome
e95dceaf6e9d7e7a1852900bb2c37d9572a72ad2,Old National Bancorp Reports Q4 EPS $0.27 vs $0.22 Est; Revenues $128.72M vs $124.75M Est,postive,0,0,Full positive as it beat both estimate for revenue and EPS
0db82746e0f6538935abe06228f03508fde9cfbc,China Information Technology Announces Appointment of New CFO,neutral,0,1,Appointment of new cfo might go either way 
a2cbb8f2a5908a161072390e26a2760b18329db9,More on the Fonterra announcement via ForexLive,neutral,0,1,Typical Article no clear direction
bd90466d50e16e3f19f3dc3bb7210ce1a8b175b4,"Smith & Wesson Reports Q2 EPS $0.25 Vs Est $0.20, Sales $143.2M Vs Est $138.69M",postive,0,0,Clear positive as Q2 surpassed est and sales est
8a3e713890df4f681a2a46a7253ed7fd98f47995,"Affimed Reports Q4 EPS Û(0.16) vs Û(0.19) in Same Qtr. Last Year, Sales Û1.4M",positive,0,1,Still a loss but narrower than last year; no consensus estimate given so YoY improvement is the only reference point
cddd9b6b953a8472e5d3da0bb56c77c7ac5ece20,Small Cap Rally in Peril: Safer Alternatives,negative,0,1,"Opinion piece, bearish on small caps as a group; no specific company"
efaf237d20e12fe8373053594d6c2932ead08b23,"AbbVie Exec Speaking At JP Morgan Healthcare Conference Says Sees Non-Humira Sales Growing To $35B+ In 2025, Sees Mavyret Remaining A Strong Source Of Cash Flow Over Long-Term",positive,0,0,Management guiding to growth outside its key product
369e0ca6e1c6e361aed89f21ffa24f1f75eb6c9e,DISH Customers in 36 Markets Blocked by Raycom Media from Access to Local Channels,negative,0,0,Carriage dispute causing service disruption; churn risk for DISH
8a4e411240c142b5c55615a1225ad65100371340,MiMedx Announces Productive Meeting With FDA,positive,0,1,Company-worded PR; 'productive' is vague and carries no concrete outcome
f92281661db6d9eb1d515ba6897ea457f1d1b8f7,EU Allows Marriott's Acquisition of Starwood Hotels,positive,0,1,Regulatory hurdle cleared for the deal; effect on the acquirer itself is debatable
be9db8da0b7712f3ba09a1e8786e7b726a0e98a8,"Top 5 Small-Cap NASDAQ Stocks In The Consumer Goods Sector With The Highest Return On Equity (MLHR, COKE, FSYS, LANC, TRLG)",neutral,0,1,"Screen/list article, no directional claim (same treatment as the Shumway buys row)"
1975dcf692323298704641378c7c5dba917c9bb9,EOG Executive Chairman Mark Papa: 'We View Bakken as Growth Area for EOG',positive,0,1,"Management optimism about a growth area; soft, no numbers"
82fdf86aae153c4bcf2c4ab4b377b3462321ce1a,UPDATE: Deutsche Bank Upgrades Kohl's to Buy on Valuation and SSS Improvements,positive,0,0,Upgrade to Buy with improving same-store sales
cfe35399140b8514f81f4630f9cf1fd0b8cf2bba,UPDATE: Forestar Holder Carlson Capital Increased Holding To 8.61% According To 13D Filing,positive,0,1,"Large holder adding to stake is usually read as bullish, but a 13D can also precede an activist fight"
cc2cfad07d27b9872f5403f1e41f3cc2533d0ef0,"Michael Kors Valuation 'Continues To Lend Support,' Deutsche Bank Maintains Buy",positive,0,0,"Buy rating maintained, valuation cited as supportive"
28ae4bdf96426efb150a4095bc22beb59d97faca,"10 Utility Companies You Can Be ""Proud to Own""",neutral,0,1,"List article, no specific direction"
39a10347dd9c03e507e46995178ded01baeb6e97,"Big Ben, Big Profits? (BEN)",neutral,0,1,"Question headline, no stated direction"
3ae4bd61222131dc7f516cd2b90b8706638c0a64,Alternative Energy ETFs: Murky Outlook,negative,0,1,"'Murky' is mildly negative; sector-level, not a company"
e0c6c070e4b17fd48d5c0afa549c3330db69d9da,"One Horizon Group Reports Q2 Loss $0.05, Sales $108K, no estimates",negative,0,1,Loss and very small sales; no estimate to compare against so judged on absolute terms
97b50caf49991f55bdfab9e69f93467153550319,Progenics Pharmaceuticals Completes Enrollment In Pivotal Phase 3 CONDOR Study Of PyL For Detection Of Prostate Cancer,positive,0,1,"Trial milestone reached, but no efficacy data yet"
171ce493ded8c85f0f5f8a633a5945f38a235cc9,ArcelorMittal Closes Two Mills - Analyst Blog,negative,0,1,"Closures imply weak demand, though could also be cost rationalisation"
