headline_id,text,label,mixed,hard,notes
3478e097ae6257ded524579f46dabefb34b36688,"Sirius XM, Citigroup Among Shumway Buys",,,,
4871d37347564aebdb94eca16c516fbb15f88762,3 Stocks Set to Spring - Investment Ideas,,,,
f7851e99c35923dc8c9369b2f6030f46d09840e4,"Sterne Agee Downgrades National Penn Bancshares to Underperform, $7 PT",,,,
40e81f3ebabb365347dd5dcba0e91bd64198ff2f,"Microsoft Takes Legal Action Against Barnes & Noble, Foxconn and Inventec for Patent Infringement by Android Devices",,,,
9674323a0db9a230f4358273f6e5e3ae8357c05c,Telefonica Layoff Costs 2.7 Billion Euro - Analyst Blog,,,,
346145ae4c2396a7e5ba8745817777dfcd185f55,Stewart Information Services Corporation Reports Q4 EPS of $0.30 vs $0.26 Est; Revenue of $450.20M vs $483.82M Est,,,,
56d43cd1f621b08fe4207b74f4ec4a1c013302f8,Annaly Capital Management Announces 75M Share Offering,,,,
e95dceaf6e9d7e7a1852900bb2c37d9572a72ad2,Old National Bancorp Reports Q4 EPS $0.27 vs $0.22 Est; Revenues $128.72M vs $124.75M Est,,,,
0db82746e0f6538935abe06228f03508fde9cfbc,China Information Technology Announces Appointment of New CFO,,,,
a2cbb8f2a5908a161072390e26a2760b18329db9,More on the Fonterra announcement via ForexLive,,,,
bd90466d50e16e3f19f3dc3bb7210ce1a8b175b4,"Smith & Wesson Reports Q2 EPS $0.25 Vs Est $0.20, Sales $143.2M Vs Est $138.69M",,,,
8a3e713890df4f681a2a46a7253ed7fd98f47995,"Affimed Reports Q4 EPS €(0.16) vs €(0.19) in Same Qtr. Last Year, Sales €1.4M",,,,
cddd9b6b953a8472e5d3da0bb56c77c7ac5ece20,Small Cap Rally in Peril: Safer Alternatives,,,,
efaf237d20e12fe8373053594d6c2932ead08b23,"AbbVie Exec Speaking At JP Morgan Healthcare Conference Says Sees Non-Humira Sales Growing To $35B+ In 2025, Sees Mavyret Remaining A Strong Source Of Cash Flow Over Long-Term",,,,
369e0ca6e1c6e361aed89f21ffa24f1f75eb6c9e,DISH Customers in 36 Markets Blocked by Raycom Media from Access to Local Channels,,,,
8a4e411240c142b5c55615a1225ad65100371340,MiMedx Announces Productive Meeting With FDA,,,,
f92281661db6d9eb1d515ba6897ea457f1d1b8f7,EU Allows Marriott's Acquisition of Starwood Hotels,,,,
be9db8da0b7712f3ba09a1e8786e7b726a0e98a8,"Top 5 Small-Cap NASDAQ Stocks In The Consumer Goods Sector With The Highest Return On Equity (MLHR, COKE, FSYS, LANC, TRLG)",,,,
1975dcf692323298704641378c7c5dba917c9bb9,EOG Executive Chairman Mark Papa: 'We View Bakken as Growth Area for EOG',,,,
82fdf86aae153c4bcf2c4ab4b377b3462321ce1a,UPDATE: Deutsche Bank Upgrades Kohl's to Buy on Valuation and SSS Improvements,,,,
cfe35399140b8514f81f4630f9cf1fd0b8cf2bba,UPDATE: Forestar Holder Carlson Capital Increased Holding To 8.61% According To 13D Filing,,,,
cc2cfad07d27b9872f5403f1e41f3cc2533d0ef0,"Michael Kors Valuation 'Continues To Lend Support,' Deutsche Bank Maintains Buy",,,,
28ae4bdf96426efb150a4095bc22beb59d97faca,"10 Utility Companies You Can Be ""Proud to Own""",,,,
39a10347dd9c03e507e46995178ded01baeb6e97,"Big Ben, Big Profits? (BEN)",,,,
3ae4bd61222131dc7f516cd2b90b8706638c0a64,Alternative Energy ETFs: Murky Outlook,,,,
e0c6c070e4b17fd48d5c0afa549c3330db69d9da,"One Horizon Group Reports Q2 Loss $0.05, Sales $108K, no estimates",,,,
97b50caf49991f55bdfab9e69f93467153550319,Progenics Pharmaceuticals Completes Enrollment In Pivotal Phase 3 CONDOR Study Of PyL For Detection Of Prostate Cancer,,,,
171ce493ded8c85f0f5f8a633a5945f38a235cc9,ArcelorMittal Closes Two Mills - Analyst Blog,,,,
be22b70172fb84cfe9d2a73fc5ccfbb5f0266933,Delphi Reiterated at Neutral - Analyst Blog,,,,
2cb617e6881db1c9efb4c59bd1cec79e3405733b,B Riley & Co Analyst Scott Tilghman: Staples CEO Has Been Public About Dislike For Office Depot,,,,
429b7eb53c8335717741f5eb28b4e2c69459cc77,EnPro Industries Reports Q1 EPS $0.91 vs $0.55 Est; Revenues $311.5M vs $302.20M Est,,,,
38918f2b8747a44420d2ab32a7b4ca980758522f,"Swift Energy Director Saxton Buys 44,000 Shares @$2.30/Share -Form 4",,,,
6ca9656b3f83cbbedfc4f1700cdc934e4fa13a82,"Sprouts Farmers Market Raises FY17 Sales Growth From 12.5-13.5% To 13-14%, EPS $0.87-$0.91 To $0.88-$0.92",,,,
0db903ffea63f12c19ebea23af44a822cbd55889,Gulfport Energy Launches 7.5M Share Offering,,,,
3a7d806b599e0e8c68f2b47545d1f90be707d56e,"Bank of America Maintains Underperform on Altra Holdings, Inc., Raises PO to $28.00",,,,
f511e4494e18672726066d820e657c43207701d9,Masco Lowers Top End Of FY18 Adj. EPS Range From $2.48-$2.63 To $2.48-$2.55,,,,
2f6ac1a676436f596c051fc2099be3b64449495c,WESCO Reaffirms FY19 EPS Guidance $5.10-$5.70 vs $5.39 Estimate,,,,
d407d6431b76ea1771e90921a33477a61d04b0de,"Option Alert: Nuance Communications Dec $17 Call; 2,625 Contracts Traded vs 454 OI; Currently $15.19",,,,
782014b8c7e519bed7dbe91b0226b9154867f6a3,"ADDvantage Technologies Reports Q3 EPS $(0.01) vs $0.03 In Prior Year Period, Sales $13M vs $10.1M In Prior Year Period",,,,
29c01730d5f7615638e48856e82034fd237e329f,Kinetic-Novation Extend Contract - Analyst Blog,,,,
1f09a9dcf1cc40c5ca0d986566b2e3e529164af0,Ryder Increases Qtr. Dividend From $0.44 To $0.46/Share,,,,
96676c0232f8db88d997cb711d23002792ac6eae,Brean Murray Carret & Co. Believes Pullback In Bruker Represents Opportunity (BRKR),,,,
4fc11909db7e078d1f0153941ae1cb63296ecd81,Bank of America Downgrades Fortune Brands Home to Neutral,,,,
d4e4df3c386559571e24ac7d2154f7ff8f662e7b,From Ealier: Helix BioPharma Corp Files Clinical Trial Applications for Its Planned European Phase III Efficacy Trial of Topical Interferon Alpha-2b in Patients With Low-Grade Cervical Lesions,,,,
f069396f7a52f5d6a61b3838d05b8971466a4e26,Achillion Pharmaceuticals Down Over 4% After Announcing 9M Share Offering,,,,
db185295c73acd119549fde9660b37036bbbabd8,Royale Energy Spiking Higher on Heavy Volume; Currently at $6.37,,,,
835b3b9b56a7cca289a1fcce544879b2352922ba,"Morgan Stanley Likes Bank Of America, Citigroup In Large Cap Space And Visa In Payments",,,,
fe06f1256ff8f10a82bb8aa59a828f7250ebd373,Blackhawk Network to Acquire Grass Roots Group for ~$118M,,,,
4fa588a3770873811d798fdc44883d6c87fbd01a,The Top IPO Of 2014,,,,
56ab5e27589a47dfe807d53130c02b396f77a72d,10 Stocks Moving In Friday's Pre-Market Session,,,,
663065f9ef81c26f99c47380afb0b2e9ef79c94c,Endurance Intl Spikes to High of $9.50 on Volume,,,,
52bdda23623447cf7e9d9896c3c98321346a85e9,China Telecom Adopts NQ Mobile vLife Technology for Mobile Cloud Platform,,,,
