headline_id,text
ecbc4e031f0e0f3575e9da850194937180bea516,MutualFirst Financial Reports Q3 EPS $0.26 vs $0.20 Est
e641f3d1c5a34e91157acd64b5681e76eb47c638,CSX Targets At Least $1B Share Buyback/Yr After Current Program And Dividend Payout Ratio Of 30-35% Of EPS
b2caf3040334203c11658db5aeef65145c24b9ac,"Fred's Reports Q4 Sales Up 10% to $553.8M vs $572.8M Est., Comps Up 1.7%"
a4a0e8c10ffd4c0cf8db2d72f290753fa1511061,American Apparel Reports Talks with Standard General on Credit Facility
1740abe258b0cd4de63f5c7f7c52276af865ea51,Capstone Downgrades Under Armour To Hold
d5114f5ccf072a03efdb9aa12c7ab956b490f867,13D Filing from Silicon Valley Community Foundation on GoPro Shows 22.1% Stake
85e2f0c90b9669b39a179b431fd4fc0886111ed4,Credit Suisse Likes These Three Sectors
84c45d477ed117e559afc3d13eee76cfeb4f27a6,Pharmerica Corporation Sees FY2013 EPS $1.39-1.55 vs $1.32 Est
d2e9872abc0da589cc3f0af293fb9bcfccc4dbfe,"Brean Capital Maintains Buy on Resolute Energy Corporation, Raises PT to $40.00"
3b55befbb3cbea31a0447b2da973eddfd45b0d9f,"Gilat Reaffirms FY18 Guidance: Sales $285M-$305M, Adj. EBITDA $30M-$34M"
e1aff9f0b2c3edb57086731ccaf19b1e7dd012e8,UPDATE: Jefferies Raises PT on The Blackstone Group on 1Q13 Preview
be3f5026694396946d00bd261b66081dfe34ae83,USD Surges On Rumours Of Discount Rate Hike
af8d75de6ddc0c8198c50f6b4a48fa316a1995f4,The Rationale for Buying Index Puts - Voice of the People
bde58615a078d4e0b66999f085dce3d8a9c36d04,Team Health Announces Secondary Offering of 9.63M Shares of Common Stock
f73dc0f5063bbe89929be37e7d9cf6d02833cc03,Hearing that Facebook Earned Revenues of $1.6B in First Half 2011; Net income of $500M
32c71925a3fcc7c5340e0a641c973329602164b4,Some traders have this press release framed in their office (or on their yachts) via ForexLive
1a19ef165be037bf5eeeb30b6db38d43dd813aa7,ConocoPhillips; Starbucks: Analysts' Ratings
2914b8dd68c2603add47578e5b59ad6c0fff28bd,Investors Bored by Health Care Reform
80c5a19bd215787b34f41d0ad381201215f129b0,Notable Put Options Activity in Geron
ea366310d0528256b14ed4be5d33f8bed071ba01,RBC Capital Downgrades Allied Nevada Gold Corp. to Sector Perform
072cc4333cc4a69243f6220e5bad5ef85ac74e2c,Susquehanna Downgrades Community Health Systems to Neutral
72cdc580e9446f472dd2c5d51ffd67b022c7162d,CALX To Generate Solid Top-Line Growth
200c89da043e185eabe853607730a107fa6f0ee2,"UPDATE: JP Morgan's Kolanovic Says 'High levels of equity exposure, currently in the ~90th historical percentile, indicate high market risk posed by a potential increase of market volatility'"
3478e097ae6257ded524579f46dabefb34b36688,"Sirius XM, Citigroup Among Shumway Buys"
37a169ad587bf1de408b2f6ae3c8855bbea30543,CareDx Shares Up 21.2% After Co. Thursday Reported Better-Than-Expected Q4 Loss
d9159028c1d2f94b5a60529ba8a2fcb4b878e825,April 8th Watchlist
80d7bcbb7b7863af5445f0bd48acb157c0d7ca1d,J.P Morgan Maintains Overweight On City National Corp. Following Earnings
df333b8cb70c4bd7c1aca4722556a572477bf659,"Hancock Holding Co. Reports Q2 EPS $0.60 vs $0.69 Est., NII $208.3M"
2467b18aecd8773de0383e846a44bf500bf9ce64,AeroVironment Shares Trading Slightly Higher Pre-Market on Bezos 60 Minutes Comments on Potential Amazon Deliveries by Drone
6eb486614bdf639c08f33738ed6e8280cc2df9f2,"UBS Maintains Neutral on Kohl's, Raises Price Target to $49"
1bad3b85bdb835038a6033dc557de6609bbebd54,"Tyco To Split Into 3 Independent, Publicly Traded Companies"
7bc16765e54b3def1268c0a5de54f85e37b123ed,"Intevac Reports Q4 Adj. EPS $0.00 vs $(0.05) Est., Sales $24.8M vs $24.7M Est."
