scorer,horizon,coef,nw_se,t,p,nobs,coefficient_scale,tone_sd,hac_convention,alternate_nw_se,family,family_size,interval_scope,alpha,bh_q,bh_reject,by_q,by_reject,bh_by_disagree,claim_reject,claim_basis,bps_per_sd,bps_lo95,bps_hi95,sesoi_bps,bps_lo95_rounded,bps_hi95_rounded,association_detected,effect_established_small,conclusion,boundary_case,boundary_endpoints_bps,boundary_note
lm,1,6.842934432056713e-05,0.00018065783719312705,0.3787787199478908,0.7048521909794356,2453,standardized_tone,0.0542070526029613,session_indexed,0.00018065783719312705,secondary_return,14,pointwise,0.05,0.9460509006801721,False,1.0,False,False,False,BY,0.6842934432056713,-2.8566001657796187,4.225187052190962,5.0,-2.9,4.2,False,True,"No association detected, and precise enough to exclude effects beyond +/-5 bps",False,,
lm,2,-0.00010109736862126936,0.00017604550953881492,-0.5742683746158216,0.5657862065453516,2452,standardized_tone,0.05421239421924283,session_indexed,0.00017604550953881492,secondary_return,14,pointwise,0.05,0.9460509006801721,False,1.0,False,False,False,BY,-1.0109736862126937,-4.461465673173466,2.4395183007480785,5.0,-4.5,2.4,False,True,"No association detected, and precise enough to exclude effects beyond +/-5 bps",False,,
lm,3,0.00020182316857814836,0.00017509369994550582,1.1526580833060327,0.24905075261795773,2451,standardized_tone,0.054211090276382705,session_indexed,0.00017509369994550582,secondary_return,14,pointwise,0.05,0.9460509006801721,False,1.0,False,False,False,BY,2.0182316857814837,-1.4136048331504303,5.450068204713398,5.0,-1.4,5.5,False,False,Inconclusive,False,,
lm,4,-0.00011241297984009575,0.00016751182437917526,-0.6710748943050178,0.5021728195330668,2450,standardized_tone,0.05422212752352195,session_indexed,0.00016751182437917526,secondary_return,14,pointwise,0.05,0.9460509006801721,False,1.0,False,False,False,BY,-1.1241297984009575,-4.407361556232793,2.1591019594308776,5.0,-4.4,2.2,False,True,"No association detected, and precise enough to exclude effects beyond +/-5 bps",False,,
lm,5,8.78171018215532e-05,0.00017690252464482522,0.49641519813166807,0.6196015044342675,2449,standardized_tone,0.0542316695678758,session_indexed,0.00017690252464482522,secondary_return,14,pointwise,0.05,0.9460509006801721,False,1.0,False,False,False,BY,0.878171018215532,-2.5891184648230423,4.345460501254106,5.0,-2.6,4.3,False,True,"No association detected, and precise enough to exclude effects beyond +/-5 bps",False,,
vader,1,-0.00014975529557116,0.0001922965671184395,-0.7787725897307494,0.43611368696930175,2453,standardized_tone,0.032248608559143514,session_indexed,0.0001922965671184395,secondary_return,14,pointwise,0.05,0.9460509006801721,False,1.0,False,False,False,BY,-1.4975529557116,-5.266565671233014,2.2714597598098143,5.0,-5.3,2.3,False,False,Inconclusive,False,,
vader,2,5.580159461372039e-05,0.0001830202440415681,0.304893018288439,0.7604476333600708,2452,standardized_tone,0.03224264074374948,session_indexed,0.0001830202440415681,secondary_return,14,pointwise,0.05,0.9460509006801721,False,1.0,False,False,False,BY,0.558015946137204,-3.0291808370775306,4.145212729351939,5.0,-3.0,4.1,False,True,"No association detected, and precise enough to exclude effects beyond +/-5 bps",False,,
vader,3,4.351188570832441e-06,0.0001994441206841347,0.021816579781379172,0.9825942685816674,2451,standardized_tone,0.03224551099284194,session_indexed,0.0001994441206841347,secondary_return,14,pointwise,0.05,0.9825942685816674,False,1.0,False,False,False,BY,0.043511885708324406,-3.8655928797007157,3.952616651117365,5.0,-3.9,4.0,False,True,"No association detected, and precise enough to exclude effects beyond +/-5 bps",False,,
vader,4,-7.309534182266383e-05,0.00019266035778253685,-0.3794000107960422,0.704390842542076,2450,standardized_tone,0.032207993441106295,session_indexed,0.00019266035778253685,secondary_return,14,pointwise,0.05,0.9460509006801721,False,1.0,False,False,False,BY,-0.7309534182266383,-4.507096430764361,3.045189594311084,5.0,-4.5,3.0,False,True,"No association detected, and precise enough to exclude effects beyond +/-5 bps",False,,
vader,5,6.017683164549969e-05,0.0002043588177679005,0.29446652854414734,0.7684014365251144,2449,standardized_tone,0.03219675490522123,session_indexed,0.0002043588177679005,secondary_return,14,pointwise,0.05,0.9460509006801721,False,1.0,False,False,False,BY,0.6017683164549968,-3.4036645117958533,4.607201144705847,5.0,-3.4,4.6,False,True,"No association detected, and precise enough to exclude effects beyond +/-5 bps",False,,
